f1,f2,f3,type
7.236639,10.740281,2096,pareto
7.236820,9.540632,2823,pareto
7.237685,10.598673,1796,pareto
7.238058,8.562354,12380,pareto
7.238199,10.485246,1370,pareto
7.238746,9.612763,2463,pareto
7.238752,10.443091,1250,pareto
7.238980,8.895785,12280,pareto
7.239184,10.154958,2393,pareto
7.239901,8.640906,12180,pareto
7.240806,9.604645,2443,pareto
7.240823,8.457611,12080,pareto
7.241745,8.790398,11980,pareto
7.242222,10.382904,2374,pareto
7.242955,9.103708,11193,pareto
7.243561,9.030016,1633,pareto
7.243683,8.724707,11793,pareto
7.243827,10.297658,836,pareto
7.245691,8.680094,11666,pareto
7.246352,8.614754,11480,pareto
7.247708,9.811306,1033,pareto
7.248057,9.266042,1476,pareto
7.248291,8.549063,11293,pareto
7.248639,10.236885,663,pareto
7.249117,8.140808,11180,pareto
7.250299,8.504450,11166,pareto
7.250393,10.044731,116,pareto
7.252223,9.981366,466,pareto
7.252444,9.177127,1226,pareto
7.252876,8.071702,10863,pareto
7.253250,8.939014,1176,pareto
7.253270,9.137432,1113,pareto
7.253303,9.708119,350,pareto
7.254907,8.328806,10666,pareto
7.255568,8.263466,10480,pareto
7.255736,7.970882,10576,pareto
7.255857,8.611905,9793,pareto
7.256034,9.032045,813,pareto
7.256374,8.026151,10430,pareto
7.256881,10.030679,76,pareto
7.257250,9.361124,0,pareto
7.257507,8.197775,10293,pareto
7.258151,8.317155,9676,pareto
7.258313,8.180211,10243,pareto
7.259701,8.666745,0,pareto
7.262414,8.148595,10053,pareto
7.262650,8.334582,0,pareto
7.263862,7.947307,9580,pareto
7.264224,8.281889,166,pareto
7.264387,8.298361,0,pareto
7.264879,7.624395,9493,pareto
7.267529,7.828923,9243,pareto
7.268449,8.150351,1146,pareto
7.268645,8.139813,1196,pareto
7.268917,8.095706,0,pareto
7.268937,7.812412,9196,pareto
7.271234,7.344653,8780,pareto
7.271681,7.990320,0,pareto
7.271953,7.983294,76,pareto
7.273524,7.920062,0,pareto
7.274170,7.895472,0,pareto
7.276395,7.814676,92,pareto
7.276928,7.481148,8253,pareto
7.276934,7.841608,0,pareto
7.277409,7.441452,8140,pareto
7.278139,7.794457,7466,pareto
7.278929,7.744418,212,pareto
7.279624,7.063505,7893,pareto
7.279678,7.709290,362,pareto
7.280904,7.661280,286,pareto
7.281464,7.639032,492,pareto
7.281836,7.071702,7713,pareto
7.282616,7.603903,692,pareto
7.284113,7.551210,792,pareto
7.285318,7.169555,7366,pareto
7.285641,7.162529,7346,pareto
7.285684,7.533646,1456,pareto
7.286260,7.457388,1436,pareto
7.286463,7.093677,7150,pareto
7.287223,7.445824,1092,pareto
7.288384,7.585636,0,pareto
7.288744,6.998829,6880,pareto
7.289336,7.400156,1886,pareto
7.289724,7.371077,6193,pareto
7.290391,7.340437,1442,pareto
7.290571,6.760109,6826,pareto
7.291854,7.353786,472,pareto
7.292548,7.331585,1646,pareto
7.292637,7.270180,1612,pareto
7.292787,7.263154,1762,pareto
7.292825,6.989344,6753,pareto
7.292826,7.362685,156,pareto
7.293673,7.247814,6013,pareto
7.294266,7.228025,1206,pareto
7.294346,6.597463,6363,pareto
7.295600,7.226464,3796,pareto
7.296801,7.204606,806,pareto
7.297363,7.166745,3966,pareto
7.297494,7.503287,0,pareto
7.297764,7.094536,1942,pareto
7.299360,7.410695,0,pareto
7.299450,7.181187,986,pareto
7.300176,7.027791,1776,pareto
7.300372,7.024278,2186,pareto
7.301017,6.977440,3606,pareto
7.302010,7.397631,0,pareto
7.302618,6.918891,2456,pareto
7.302732,6.497541,5453,pareto
7.303023,7.327373,0,pareto
7.303194,7.046526,1636,pareto
7.303258,6.897112,2372,pareto
7.303622,7.214364,0,pareto
7.304699,6.693340,4493,pareto
7.305728,6.813505,2756,pareto
7.306707,6.806479,2406,pareto
7.307248,6.105660,4963,pareto
7.308419,6.725683,2972,pareto
7.309758,7.081742,1046,pareto
7.309818,6.672990,3106,pareto
7.310200,5.929899,4666,pareto
7.310228,7.074707,0,pareto
7.310278,6.683528,3006,pareto
7.310533,6.068423,4539,pareto
7.311718,6.572287,3656,pareto
7.311949,6.602732,3356,pareto
7.313849,6.870882,746,pareto
7.313886,6.080562,4266,pareto
7.314308,6.848634,1496,pareto
7.314808,5.754254,4166,pareto
7.315289,6.583997,2716,pareto
7.316119,6.444653,3856,pareto
7.317001,6.392428,4142,pareto
7.317592,6.058431,4103,pareto
7.317693,6.552056,3613,pareto
7.317936,6.619126,2546,pareto
7.318494,5.613739,3766,pareto
7.318750,5.318372,18514,pareto
7.318959,6.974395,0,pareto
7.319513,6.465046,2953,pareto
7.319727,6.767447,0,pareto
7.321610,5.217552,18227,pareto
7.322120,6.342779,3226,pareto
7.322209,6.216486,2593,pareto
7.322545,5.606831,3543,pareto
7.323097,6.130007,2986,pareto
7.323187,6.761202,0,pareto
7.324595,6.635909,0,pareto
7.325333,5.455777,3113,pareto
7.325777,5.117513,17864,pareto
7.328626,6.507368,2386,pareto
7.328719,6.378791,2166,pareto
7.328887,5.225605,13776,pareto
7.329073,6.520062,0,pareto
7.330686,6.496643,0,pareto
7.331474,5.643872,3026,pareto
7.332350,6.141383,2586,pareto
7.332360,6.274056,2223,pareto
7.332649,5.633333,2996,pareto
7.332990,6.285870,0,pareto
7.333495,5.195705,16914,pareto
7.335433,5.195705,16727,pareto
7.337578,6.151444,0,pareto
7.338586,5.439969,6100,pareto
7.341400,5.561280,1963,pareto
7.341768,5.826854,0,pareto
7.343014,5.264325,5600,pareto
7.344063,5.652303,0,pareto
7.346152,4.913037,4600,pareto
7.349394,5.508353,0,pareto
7.351320,5.277596,0,pareto
7.354983,5.151132,0,pareto
7.355174,4.807650,4300,pareto
7.357688,5.086807,0,pareto
7.359235,4.801192,4287,pareto
7.360482,4.605308,0,pareto
7.365712,4.489227,0,pareto
7.369698,4.371351,0,pareto
7.372979,4.361057,0,pareto
7.375356,4.308325,0,pareto
7.380609,4.251851,0,pareto
7.382043,4.224494,173,pareto
