iteration,hv_mean,hv_std
155,1767989.353065,33203.796660
156,1768002.333895,33252.363784
157,1768028.056322,33263.095124
158,1768741.830162,32548.622907
159,1768953.370890,32540.020005
160,1768963.233369,32567.089701
161,1768999.286877,32589.135224
162,1769127.342257,32418.292301
163,1769152.130190,32409.331483
164,1769208.329071,32453.124915
165,1769224.320371,32442.222736
166,1769223.299561,32435.309478
167,1769248.271498,32468.159252
168,1769306.937615,32444.588195
169,1769454.568367,32511.789585
170,1769491.883877,32500.029581
171,1769495.963733,32533.330473
172,1769469.999848,32518.646055
173,1769462.913517,32519.707527
174,1769520.633279,32553.830464
175,1769522.178349,32557.345673
176,1769621.471174,32560.099234
177,1769747.632490,32544.695524
178,1769815.879711,32562.428656
179,1769860.827317,32627.953043
180,1770046.881925,32642.036385
181,1770077.468589,32640.249390
182,1770087.303569,32662.317605
183,1770192.201139,32732.646047
184,1770463.881558,32898.196230
185,1770535.855951,32882.835360
186,1770510.394208,32849.145418
187,1770589.742628,32870.160579
188,1773820.913457,27269.051477
189,1773820.172544,27248.435649
190,1773834.377999,27272.319421
191,1774002.138197,27259.272302
192,1774033.363640,27274.033437
193,1774064.321695,27278.616755
194,1774079.400305,27306.347597
195,1774077.660228,27294.816065
196,1774701.747796,27743.606644
197,1774709.333352,27742.674588
198,1774778.599903,27786.674669
199,1774843.058062,27787.438212
200,1774845.632162,27791.710318
201,1774855.064467,27795.349634
202,1774881.215580,27751.090037
203,1775299.549302,26863.335947
204,1775344.203429,26900.210737
205,1775587.627687,27014.802586
206,1775599.961911,27020.367529
207,1775648.143246,27001.126384
208,1775675.883737,27025.729100
209,1775686.098218,27040.009225
210,1775714.398288,27037.623734
211,1775955.151821,27044.421416
212,1776070.480877,27018.325474
213,1776098.883854,27119.033157
214,1776072.561685,27112.544789
215,1776085.503153,27085.870932
216,1776078.919370,27086.113736
217,1776094.699840,27078.075497
218,1776087.933436,27093.905173
219,1776091.455100,27110.752463
220,1776137.539023,27122.851676
221,1776141.816346,27115.476250
222,1776252.339527,27135.644971
223,1776299.169936,27138.545392
224,1776307.275445,27053.805951
225,1776327.763007,27062.161242
226,1776312.476346,27143.925077
227,1776308.784002,27141.921669
228,1776316.045573,27138.152710
229,1776321.278232,27138.864673
230,1776323.646335,27131.771213
231,1776332.603734,27140.753769
232,1776377.902311,27104.854403
233,1776514.784278,26877.677189
234,1776517.837007,26873.657141
235,1776523.281443,26870.877644
236,1776529.993048,26906.047816
237,1776533.659933,26913.654281
238,1776538.975804,26917.385344
239,1776527.573734,26915.911500
240,1776572.029407,26885.371575
241,1776634.543848,26780.189265
242,1776671.759343,26765.105147
243,1776903.508999,26849.680968
244,1776894.478842,26841.117738
245,1776933.193970,26817.201416
246,1776934.319883,26788.968026
247,1776935.808578,26852.922446
248,1776967.988534,26871.345614
249,1777085.776318,26858.728356
250,1777082.762592,26870.263779
251,1777182.214570,26889.855781
252,1777199.308146,26885.864394
253,1777500.797770,27117.240615
254,1777543.935218,27146.460355
255,1777598.701582,27060.918877
256,1777596.921712,27053.218808
257,1777616.044908,27153.219661
258,1777606.684191,27133.961726
259,1777658.807162,27169.891909
260,1777996.466589,27194.377387
261,1778018.604098,27198.527789
262,1777990.627711,27180.655329
263,1778051.966582,27210.388133
264,1778069.722222,27184.410572
265,1778155.219101,27235.693179
266,1778114.205748,27204.437042
267,1778187.955657,27259.789260
268,1778216.577918,27291.398221
269,1778248.167132,27282.566099
270,1778284.912390,27310.117891
271,1778259.033945,27302.923488
272,1778590.855342,27179.873537
273,1778617.783215,27202.374814
274,1778651.380547,27170.189687
275,1778792.401457,27041.778612
276,1778765.531855,27053.674219
277,1778534.479234,27109.810526
278,1778699.029893,26742.936683
279,1778714.862064,26728.479004
280,1778692.866847,26734.217289
281,1778919.962240,26404.032989
282,1778920.423100,26358.564788
283,1778904.035000,26371.331107
284,1779344.537529,26508.958618
285,1779373.686988,26527.366100
